,genotype,BLUE,sep_BLUE,w,Location,Year,H.cullis,trait,Entry,Nominator,BP,HT,Grain_type,Gen_type
1,AddiJo,6277.41034511537,284.661570171821,126051.681223933,Winnsboro,2022,0.941433619615415,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
2,AddiJo,10676.3232501259,389.942222542746,138248.024815348,Rice Research Station South,2022,0.80730134913134,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
3,AddiJo,7741.34310915476,405.145701582525,102565.300254073,Pine Tree Research Station,2022,0.945153369198133,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
4,AddiJo,8811.60881282052,272.496875168527,106967.434726575,Rice Research Station,2022,0.938590376125822,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
5,AddiJo,8267.83508880338,436.591215116716,146503.985382772,Mowata,2022,0.715104020014099,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
6,AddiJo,6871.7521367934,221.125160835162,61510.7973864793,UA Northeast Rice Res & Ext Ctr,2022,0.943728548983391,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
7,AddiJo,6961.86813901205,322.25965222118,169677.328930728,Lake Arthur,2022,0.951796004215466,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
8,AddiJo,6144.2544194765,416.437124438984,188741.237433555,St. Joseph,2022,0.937421136112444,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
9,AddiJo,6136.61717615193,256.814287458186,113194.522638857,Lawrence County,2022,0.949964588523811,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
10,AddiJo,7850.99272784813,208.561501049856,84535.7480319572,Palmetto,2022,0.958092893267402,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
11,AddiJo,6609.63694492393,492.035675160476,223440.506368381,Desha County,2022,0.822821514472978,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
12,AddiJo,9614.0646151065,333.446905243774,161239.84077769,Bay City,2022,0.936513530130424,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
13,AddiJo,10201.7393089608,335.423803095871,116648.232443036,Rice Research Station - Late,2022,0.884763580620937,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
14,AddiJo,9579.72028399516,263.408955341847,92121.7516676349,Nutrien Rice Breeding Station,2022,0.908410421581201,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
15,AddiJo,5148.57355702918,526.734591456084,237558.234655483,UA Northeast Res and Ext Center,2022,0.850884013781188,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
16,AddiJo,8915.96553204429,227.03680665821,59573.6385171802,Wintermann Rice Research Station,2022,0.925426915062098,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
17,AddiJo,7606.1887413924,432.761353380093,128686.935127251,UA Rice Res and Ext Center,2022,0.923103163265123,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
18,AddiJo,9425.47347956298,253.196597100648,137811.842231444,Mamou,2022,0.966522782612498,Yield.LSU_01.0000138,1,LSU,LSU,CONV,Long,Line
19,CLL16,9226.78636097911,387.419311357925,96474.0745012974,Pine Tree Research Station,2022,0.945153369198133,Yield.LSU_01.0000138,21,Check,AR,CL,Long,Line
20,CLL16,10315.1296210957,172.388680448243,129889.053116419,UA Northeast Rice Res & Ext Ctr,2021,0.973594386669851,Yield.LSU_01.0000138,21,Check,AR,CL,Long,Line
21,CLL16,6881.32582261123,392.456679844408,209951.831864404,Lake Arthur,2022,0.951796004215466,Yield.LSU_01.0000138,21,Check,AR,CL,Long,Line
22,CLL16,9236.90261490608,212.840765173767,106614.390712359,Wintermann Rice Research Station,2021,0.914465139482436,Yield.LSU_01.0000138,21,Check,AR,CL,Long,Line
23,CLL16,7720.7577221321,251.305338672961,110357.704262853,Lawrence County,2022,0.949964588523811,Yield.LSU_01.0000138,21,Check,AR,CL,Long,Line
24,CLL16,10272.7199514997,422.859634911636,152367.832002338,Rice Research Station,2021,0.844974135891633,Yield.LSU_01.0000138,21,Check,AR,CL,Long,Line
25,CLL16,9687.08755927579,283.90610139167,176615.751801633,Bay City,2021,0.946929917929501,Yield.LSU_01.0000138,21,Check,AR,CL,Long,Line
26,CLL16,7105.88020831106,361.541535774572,186428.484752829,Palmetto,2021,0.84519462219751,Yield.LSU_01.0000138,21,Check,AR,CL,Long,Line
27,CLL16,10229.5645349694,279.301515159753,90664.1821590517,Rice Research Station - Late,2022,0.884763580620937,Yield.LSU_01.0000138,21,Check,AR,CL,Long,Line
